day,neural_mu,neural_sigma,neural_lambda,neural_mu_J,neural_sigma_J,mle_mu,mle_sigma,mle_lambda,mle_mu_J,mle_sigma_J
2024-03-15,-0.009770551696419716,0.03980677202343941,74.55908203125,-6.298110383795574e-05,0.0034545445814728737,0.011210422228339694,0.05336301788701253,20.0,-0.0019940431229770184,0.006800874602049589
2024-03-16,-0.01953921653330326,0.03169343248009682,64.96558380126953,-0.0001560141972731799,0.0024781341198831797,-0.0721953394310451,0.03521358419200623,13.0,0.0007523947861045599,0.0045755826868116856
2024-03-17,-0.0006657589692622423,0.03247557207942009,59.35147476196289,0.0010511038126423955,0.0018624011427164078,0.02314456155219287,0.033463383823365556,8.0,0.0029309727251529694,0.00265212869271636
2024-03-18,0.008464466780424118,0.02934173308312893,77.50538635253906,-0.0006076376885175705,0.001685424242168665,0.012848188451593476,0.03191774329758467,9.0,-0.002775496104732156,0.002476200694218278
2024-03-19,-0.023232271894812584,0.04718150943517685,54.567508697509766,0.00020553515059873462,0.002990501467138529,-0.07431701254242588,0.05077690007615558,7.0,-0.0019020630279555917,0.005874850321561098
2024-03-20,0.020374396815896034,0.048938870429992676,52.2158317565918,0.000412148074246943,0.003183656604960561,0.09100805538447637,0.050972854235217566,8.0,0.0001586276339367032,0.006517859175801277
2024-03-21,-0.00916980393230915,0.03385128080844879,66.95977020263672,-4.706840991275385e-05,0.0019466266967356205,-0.034341509596481766,0.03696862679800183,9.0,-0.00010493578884052113,0.004315564874559641
2024-03-22,-0.003025051672011614,0.0303029902279377,81.29542541503906,-0.00027653496363200247,0.0019223998533561826,-0.027305714617017984,0.03699848267504611,13.0,6.096919241826981e-05,0.004265749827027321
2024-03-23,-0.016117746010422707,0.030539508908987045,43.948768615722656,0.0016162104438990355,0.0023529825266450644,-0.01967744586860241,0.025468962083103966,11.0,0.002144894562661648,0.00317134871147573
2024-03-24,0.0060972655192017555,0.02464543841779232,64.31608581542969,0.000778558780439198,0.001673151389695704,0.04244898987844985,0.026080615202167225,17.0,0.00044086138950660825,0.0031318492256104946
2024-03-25,0.0015043285675346851,0.028207464143633842,65.28091430664062,0.0005071857594884932,0.0019628049340099096,0.015335469836538012,0.029323933989471362,17.0,0.0014298480236902833,0.003454504767432809
2024-03-26,-0.0036892418283969164,0.024723583832383156,71.65258026123047,3.495571581879631e-05,0.0017507774755358696,0.01091341527537721,0.026509202768778023,26.0,-0.0003502168692648411,0.002939485013484955
2024-03-27,-0.004947032779455185,0.02205008640885353,41.38221740722656,-0.0005606045597232878,0.0025253582280129194,0.012435034459524746,0.02585436501892607,35.0,-0.0005441811517812312,0.0040636989288032055
2024-03-28,0.005609495099633932,0.023103900253772736,69.08869934082031,0.00010017591557698324,0.001726569957099855,0.014909331330329238,0.0220691986512571,21.0,0.00014870344602968544,0.0028525874949991703
2024-03-29,-0.002587842522189021,0.01817595772445202,42.1230583190918,-0.0007314090034924448,0.0014379590284079313,-0.005438466373234049,0.017914631967123736,11.0,-0.0007156557985581458,0.0021370653994381428
