day,n_obs,n_jumps,lambda_hat,mu_J_hat,sigma_J_hat,mu_hat,sigma_hat,jump_set
2024-03-15,86400,52,52.0,-0.0007833039984560786,0.004962805092146199,-0.02831400151379882,0.05618559031739687,raw_lomn
2024-03-16,86400,35,35.0,-0.0009587089330189766,0.0031799367762825287,-0.06489916795198203,0.03553138346286176,raw_lomn
2024-03-17,86400,30,30.0,0.0002591636585031883,0.0026590791476556776,0.047508998229320636,0.03420032067152678,raw_lomn
2024-03-18,86400,33,33.0,-1.6093941748039672e-05,0.002601403380685252,-0.011616844647484258,0.033975319886973276,raw_lomn
2024-03-19,86400,20,20.0,-0.0003477890518151838,0.004471737274643378,-0.08656374397304988,0.051739352242645927,raw_lomn
2024-03-20,86400,27,27.0,0.0003243249719303441,0.004081558129394002,0.09078389436477927,0.052691201285906986,raw_lomn
2024-03-21,86400,26,26.0,-0.00030405872026686775,0.0028546088026687646,-0.036031663228483266,0.034756225099353125,raw_lomn
2024-03-22,86400,41,41.0,1.9018422800187188e-06,0.002878114448788552,-0.026246667564136513,0.036926230539274144,raw_lomn
2024-03-23,86400,30,30.0,0.0002743560152495661,0.0022853474179213118,0.002947035322621067,0.024562000013729553,raw_lomn
2024-03-24,86400,27,27.0,-0.00030585997094347673,0.0022310026645649605,0.05091878723959803,0.02457950902649767,raw_lomn
2024-03-25,86400,46,46.0,5.7630679335859846e-05,0.002496638336858316,0.03890701723028088,0.031032951458643706,raw_lomn
2024-03-26,86400,51,51.0,-0.00024734789542992755,0.002125710829740311,0.0021295950207816335,0.02666632725483122,raw_lomn
2024-03-27,86400,64,64.0,-0.00048072129523096807,0.0027997576684304303,-0.006767176867294651,0.03155188037763743,raw_lomn
2024-03-28,86400,33,33.0,-0.00025746874058966176,0.002237078562768656,0.01796370379689714,0.02362750512058989,raw_lomn
2024-03-29,86400,39,39.0,-0.0007785868709373307,0.0014938843813744618,-0.013663713324781,0.017582175932258196,raw_lomn
2024-03-15,86400,103,103.0,-0.0004095780106228623,0.004066038596802123,-0.027502000129682933,0.05614049068481948,ml_refined
2024-03-16,86400,64,64.0,-0.0004148973964986369,0.0026860410498564416,-0.06383888745640108,0.035485192991274894,ml_refined
2024-03-17,86400,55,55.0,9.607933720281055e-05,0.002251878583316238,0.04641749687116019,0.034179192074945554,ml_refined
2024-03-18,86400,64,64.0,1.589637893434359e-05,0.0022275480483757003,-0.010820056790043282,0.03395518437175459,ml_refined
2024-03-19,86400,68,68.0,0.0001491686266298691,0.0032340857601328428,-0.0880202230711248,0.051715327308781894,ml_refined
2024-03-20,86400,69,69.0,0.00042686246649608137,0.0032429353416225074,0.08658729280540703,0.052635136688575807,ml_refined
2024-03-21,86400,60,60.0,-0.00016368160285828992,0.002336610864122695,-0.03509826120421071,0.03473769075917385,ml_refined
2024-03-22,86400,82,82.0,-0.00011127796260866392,0.0023844675590462753,-0.02605000490176398,0.03690415655319064,ml_refined
2024-03-23,86400,51,51.0,0.0002812861025483341,0.0019228788381537517,0.002369420905369206,0.02455296771843448,ml_refined
2024-03-24,86400,51,51.0,0.00011869596363288681,0.001897323174383389,0.04928883696035217,0.0245447023645985,ml_refined
2024-03-25,86400,76,76.0,0.00024782214029432577,0.0021266062117909885,0.03907531105003608,0.031010355823463717,ml_refined
2024-03-26,86400,72,72.0,-4.6667741655218954e-05,0.001915547523076181,0.0018345096077613612,0.026662624864728684,ml_refined
2024-03-27,86400,92,92.0,-0.00023549913761790873,0.002478903667569334,-0.0052579338177812796,0.03152170196864248,ml_refined
2024-03-28,86400,50,50.0,2.1047882888360904e-05,0.0019909843280737343,0.0182290177354247,0.023625214145770148,ml_refined
2024-03-29,86400,48,48.0,-0.0005417501196550711,0.00145970261881037,-0.013713187743438484,0.017572567827747756,ml_refined
2024-03-15,86400,39,39.0,0.00023998234504869943,0.0047701363098067275,-0.027202369789132947,0.05619666880617387,persist_truth
2024-03-16,86400,32,32.0,4.9212505256968075e-05,0.003030975485792033,-0.06423031006585957,0.03550862951476048,persist_truth
2024-03-17,86400,20,20.0,0.0007037447550114706,0.0022456832149331447,0.047305430736051646,0.034186116406469846,persist_truth
2024-03-18,86400,27,27.0,-0.00026932347936668455,0.0023980726093255403,-0.011608312583715667,0.03397674130019163,persist_truth
2024-03-19,86400,18,18.0,0.0011437613157232462,0.003679978917661256,-0.08659900879680668,0.05173253511283479,persist_truth
2024-03-20,86400,27,27.0,0.0006622516719463921,0.0034045760449402354,0.0894151999665972,0.05268923134348466,persist_truth
2024-03-21,86400,28,28.0,-0.00028110064413538235,0.002332771269345971,-0.034277739928982635,0.034753329024987976,persist_truth
2024-03-22,86400,43,43.0,-0.00010238023486573807,0.0025645186243305404,-0.025621992800317933,0.036915083259364906,persist_truth
2024-03-23,86400,28,28.0,0.0004454933629215928,0.0019196366806463515,0.002504704802107231,0.024561883439129736,persist_truth
2024-03-24,86400,24,24.0,0.00023797124614755027,0.002008653840847582,0.0506832209067348,0.02457420051566355,persist_truth
2024-03-25,86400,43,43.0,0.0006680280552569387,0.0021388321251138874,0.03866263340345055,0.031036008638702817,persist_truth
2024-03-26,86400,52,52.0,0.00011823427618927996,0.0018325285325310901,0.002436677649751566,0.026665178081785847,persist_truth
2024-03-27,86400,60,60.0,-0.0005999792725774592,0.0026524467402561586,-0.005901442727047271,0.03155816270334109,persist_truth
2024-03-28,86400,36,36.0,0.0001642187307191456,0.0019430741337426389,0.01834685521021975,0.023623384299478006,persist_truth
2024-03-29,86400,32,32.0,-0.000753895749639133,0.0014493374770596706,-0.012771016192486882,0.017576962736256804,persist_truth
