jump_set,n_jumps_total,lambda_mean,lambda_std,mu_J_mean,mu_J_std,sigma_J_mean,sigma_J_std,sigma_mean,sigma_std,mu_mean,mu_std
raw_lomn,554,36.93333333333333,11.937136930404968,-0.00023750415007583564,0.0003972668370136917,0.0028905775275948537,0.0009397048010612319,0.03437386484600844,0.011304880442517231,-0.0015295965244487837,0.046111353363676964
ml_refined,1005,67.0,16.102351203650798,-3.776620485930931e-05,0.00027746573499596086,0.0024147701443421716,0.0006635325150172706,0.034349500409726834,0.011293965610920727,-0.001766577945262387,0.04529684814010237
persist_truth,509,33.93333333333333,11.713646904765561,0.00016174792557579242,0.0005170156842287529,0.0025580814670888553,0.000857494504707189,0.034370274345508406,0.011306141065285453,-0.001257164680629122,0.04563097296287916
