feature,gain
f_lomn_abs_std,31.70965003967285
f_n_trades_pm5s,18.170869827270508
f_lomn_signed,12.632061958312988
f_volume_pm5s,7.023923397064209
f_dt_prev_cand,6.021270751953125
f_bipower_60s,5.080132007598877
f_realvar_60s,4.523855209350586
f_signed_flow_pm5s,4.030266761779785
f_obi_l1,3.5224010944366455
f_jump_ratio,3.4875171184539795
f_log_mid,3.2308216094970703
f_realkurt_60s,2.9733779430389404
f_dspread_60s,1.855357050895691
f_spread,0.2556133270263672
