symbol,n_test,F1_xgb_mean,F1_xgb_ci_lo,F1_xgb_ci_hi,F1_raw_mean,F1_raw_ci_lo,F1_raw_ci_hi,F1_diff_mean,F1_diff_ci_lo,F1_diff_ci_hi,F1_diff_p,mcnemar_chi2,mcnemar_p,delong_auc_diff,delong_p
BTCUSDT,207,0.7813710141291466,0.7092108806894692,0.8481012658227848,0.7000474751358667,0.6037735849056604,0.782608695652174,0.08132353899327976,0.005327903940099217,0.1620157398181591,0.0372,0.3,0.5838824207703652,0.025939177101967803,0.08368680427428532
ETHUSDT,187,0.7831114418739561,0.7017543859649122,0.8551724137931035,0.7202215375932614,0.6185473289597,0.8099173553719008,0.06288990428069476,-0.016357969820240428,0.14756523591646853,0.1132,0.045454545454545456,0.8311704095417625,0.05056746532156364,0.011649242817838301
SOLUSDT,250,0.7748589979812622,0.7071795301077067,0.8341708542713567,0.7137643879298837,0.625,0.7882374409617863,0.061094610051378506,-0.01419304655234878,0.14056138175739794,0.1196,0.0,1.0,0.041252379944996975,0.014098975471508401
