symbol,n_train,n_test,n_features,AUC_xgb,AUC_raw_lomn,FPR90_xgb,FPR90_raw_lomn,F1_xgb
BTCUSDT,1705,207,53,0.8934605446233354,0.8675213675213675,0.4418604651162791,0.4263565891472868,0.7826086956521741
ETHUSDT,1305,187,53,0.9317780580075662,0.8812105926860025,0.18032786885245902,0.5081967213114754,0.7846153846153847
SOLUSDT,1429,250,53,0.921937804104083,0.8806149072702911,0.2331288343558282,0.4294478527607362,0.7755102040816326
