day,method,obs_idx
2024-03-27,lee_mykland,10166
2024-03-27,lee_mykland,10178
2024-03-27,lee_mykland,10183
2024-03-27,lee_mykland,10217
2024-03-27,lee_mykland,10218
2024-03-27,lee_mykland,10425
2024-03-27,lee_mykland,10529
2024-03-27,lee_mykland,10594
2024-03-27,lee_mykland,10616
2024-03-27,lee_mykland,10681
2024-03-27,lee_mykland,10690
2024-03-27,lee_mykland,10700
2024-03-27,lee_mykland,10717
2024-03-27,lee_mykland,10770
2024-03-27,lee_mykland,10794
2024-03-27,lee_mykland,10802
2024-03-27,lee_mykland,10805
2024-03-27,lee_mykland,10811
2024-03-27,lee_mykland,10824
2024-03-27,lee_mykland,10825
2024-03-27,lee_mykland,10827
2024-03-27,lee_mykland,10832
2024-03-27,lee_mykland,10833
2024-03-27,lee_mykland,10835
2024-03-27,lee_mykland,10842
2024-03-27,lee_mykland,10848
2024-03-27,lee_mykland,10927
2024-03-27,lee_mykland,11107
2024-03-27,lee_mykland,11158
2024-03-27,lee_mykland,11165
2024-03-27,lee_mykland,11170
2024-03-27,lee_mykland,11236
2024-03-27,lee_mykland,11417
2024-03-27,lee_mykland,11452
2024-03-27,lee_mykland,11464
2024-03-27,lee_mykland,11465
2024-03-27,lee_mykland,11603
2024-03-27,lee_mykland,11604
2024-03-27,lee_mykland,11760
2024-03-27,lee_mykland,11999
2024-03-27,lee_mykland,12010
2024-03-27,lee_mykland,12039
2024-03-27,lee_mykland,12047
2024-03-27,lee_mykland,12115
2024-03-27,lee_mykland,12205
2024-03-27,lee_mykland,12256
2024-03-27,lee_mykland,12536
2024-03-27,lee_mykland,12541
2024-03-27,lee_mykland,12574
2024-03-27,lee_mykland,12613
2024-03-27,lee_mykland,12620
2024-03-27,lee_mykland,12632
2024-03-27,lee_mykland,12634
2024-03-27,lee_mykland,12641
2024-03-27,lee_mykland,12648
2024-03-27,lee_mykland,12708
2024-03-27,lee_mykland,12720
2024-03-27,lee_mykland,12724
2024-03-27,lee_mykland,12734
2024-03-27,lee_mykland,12737
2024-03-27,lee_mykland,12743
2024-03-27,lee_mykland,12765
2024-03-27,lee_mykland,12783
2024-03-27,lee_mykland,12796
2024-03-27,lee_mykland,12861
2024-03-27,lee_mykland,12896
2024-03-27,lee_mykland,12930
2024-03-27,lee_mykland,13065
2024-03-27,lee_mykland,13088
2024-03-27,lee_mykland,13198
2024-03-27,lee_mykland,13205
2024-03-27,lee_mykland,13217
2024-03-27,lee_mykland,13279
2024-03-27,lee_mykland,13351
2024-03-27,lee_mykland,13400
2024-03-27,lee_mykland,13523
2024-03-27,lee_mykland,13524
2024-03-27,lee_mykland,13540
2024-03-27,lee_mykland,13559
2024-03-27,lee_mykland,13567
2024-03-27,lee_mykland,13577
2024-03-27,lee_mykland,13580
2024-03-27,lee_mykland,13600
2024-03-27,lee_mykland,13662
2024-03-27,lee_mykland,13935
2024-03-27,lee_mykland,14068
2024-03-27,lee_mykland,14073
2024-03-27,lee_mykland,14165
2024-03-27,lee_mykland,14342
2024-03-27,lee_mykland,14518
2024-03-27,lee_mykland,14532
2024-03-27,lee_mykland,14556
2024-03-27,lee_mykland,14599
2024-03-27,lee_mykland,14811
2024-03-27,lee_mykland,14890
2024-03-27,lee_mykland,14901
2024-03-27,lee_mykland,14913
2024-03-27,lee_mykland,15066
2024-03-27,lee_mykland,15101
2024-03-27,lee_mykland,15117
2024-03-27,lee_mykland,15168
2024-03-27,lee_mykland,15209
2024-03-27,lee_mykland,15210
2024-03-27,lee_mykland,15216
2024-03-27,lee_mykland,15220
2024-03-27,lee_mykland,15238
2024-03-27,lee_mykland,15260
2024-03-27,lee_mykland,15304
2024-03-27,lee_mykland,15305
2024-03-27,lee_mykland,15319
2024-03-27,lee_mykland,15344
2024-03-27,lee_mykland,15376
2024-03-27,lee_mykland,15662
2024-03-27,lee_mykland,15736
2024-03-27,lee_mykland,15790
2024-03-27,lee_mykland,15907
2024-03-27,lee_mykland,15909
2024-03-27,lee_mykland,15998
2024-03-27,lee_mykland,16035
2024-03-27,lee_mykland,16065
2024-03-27,lee_mykland,16126
2024-03-27,lee_mykland,16142
2024-03-27,lee_mykland,16156
2024-03-27,lee_mykland,16167
2024-03-27,lee_mykland,16277
2024-03-27,lee_mykland,16317
2024-03-27,lee_mykland,16319
2024-03-27,lee_mykland,16324
2024-03-27,lee_mykland,16326
2024-03-27,lee_mykland,16384
2024-03-27,lee_mykland,16440
2024-03-27,lee_mykland,16456
2024-03-27,lee_mykland,16540
2024-03-27,lee_mykland,16571
2024-03-27,lee_mykland,16595
2024-03-27,lee_mykland,16634
2024-03-27,lee_mykland,16820
2024-03-27,lee_mykland,16904
2024-03-27,lee_mykland,16907
2024-03-27,lee_mykland,17106
2024-03-27,lee_mykland,17121
2024-03-27,lee_mykland,17176
2024-03-27,lee_mykland,17185
2024-03-27,lee_mykland,17197
2024-03-27,lee_mykland,17200
2024-03-27,lee_mykland,17227
2024-03-27,lee_mykland,17236
2024-03-27,lee_mykland,17253
2024-03-27,lee_mykland,17259
2024-03-27,lee_mykland,17290
2024-03-27,lee_mykland,17298
2024-03-27,lee_mykland,17302
2024-03-27,lee_mykland,17306
2024-03-27,lee_mykland,17308
2024-03-27,lee_mykland,17343
2024-03-27,lee_mykland,17400
2024-03-27,lee_mykland,17422
2024-03-27,lee_mykland,17426
2024-03-27,lee_mykland,17464
2024-03-27,lee_mykland,17467
2024-03-27,lee_mykland,17483
2024-03-27,lee_mykland,17512
2024-03-27,lee_mykland,17568
2024-03-27,lee_mykland,17882
2024-03-27,lee_mykland,17886
2024-03-27,lee_mykland,17905
2024-03-27,lee_mykland,18026
2024-03-27,lee_mykland,18027
2024-03-27,lee_mykland,18053
2024-03-27,lee_mykland,18060
2024-03-27,lee_mykland,18081
2024-03-27,lee_mykland,18200
2024-03-27,lee_mykland,18201
2024-03-27,lee_mykland,18258
2024-03-27,lee_mykland,18259
2024-03-27,lee_mykland,18263
2024-03-27,lee_mykland,18608
2024-03-27,lee_mykland,18626
2024-03-27,lee_mykland,18640
2024-03-27,lee_mykland,18659
2024-03-27,lee_mykland,18669
2024-03-27,lee_mykland,18751
2024-03-27,lee_mykland,18841
2024-03-27,lee_mykland,18844
2024-03-27,lee_mykland,19118
2024-03-27,lee_mykland,19148
2024-03-27,lee_mykland,19158
2024-03-27,lee_mykland,19165
2024-03-27,lee_mykland,19225
2024-03-27,lee_mykland,19286
2024-03-27,lee_mykland,19320
2024-03-27,lee_mykland,19371
2024-03-27,lee_mykland,19388
2024-03-27,lee_mykland,19421
2024-03-27,lee_mykland,19429
2024-03-27,lee_mykland,19432
2024-03-27,lee_mykland,19435
2024-03-27,lee_mykland,19444
2024-03-27,lee_mykland,19448
2024-03-27,lee_mykland,19544
2024-03-27,lee_mykland,19570
2024-03-27,lee_mykland,19579
2024-03-27,lee_mykland,19603
2024-03-27,lee_mykland,19627
2024-03-27,lee_mykland,19701
2024-03-27,lee_mykland,19704
2024-03-27,lee_mykland,19706
2024-03-27,lee_mykland,19717
2024-03-27,lee_mykland,19937
2024-03-27,lee_mykland,19942
2024-03-27,lee_mykland,20020
2024-03-27,lee_mykland,20177
2024-03-27,lee_mykland,20187
2024-03-27,lee_mykland,20247
2024-03-27,lee_mykland,20294
2024-03-27,lee_mykland,20321
2024-03-27,lee_mykland,20346
2024-03-27,lee_mykland,20349
2024-03-27,lee_mykland,20352
2024-03-27,lee_mykland,20377
2024-03-27,lee_mykland,20400
2024-03-27,lee_mykland,20479
2024-03-27,lee_mykland,20495
2024-03-27,lee_mykland,20504
2024-03-27,lee_mykland,20517
2024-03-27,lee_mykland,20531
2024-03-27,lee_mykland,20557
2024-03-27,lee_mykland,20560
2024-03-27,lee_mykland,20568
2024-03-27,lee_mykland,20648
2024-03-27,lee_mykland,20716
2024-03-27,lee_mykland,20750
2024-03-27,lee_mykland,20845
2024-03-27,lee_mykland,20913
2024-03-27,lee_mykland,20936
2024-03-27,lee_mykland,21011
2024-03-27,lee_mykland,21016
2024-03-27,lee_mykland,21028
2024-03-27,lee_mykland,21051
2024-03-27,lee_mykland,21064
2024-03-27,lee_mykland,21135
2024-03-27,lee_mykland,21187
2024-03-27,lee_mykland,21189
2024-03-27,lee_mykland,21215
2024-03-27,lee_mykland,21236
2024-03-27,lee_mykland,21264
2024-03-27,lee_mykland,21265
2024-03-27,lee_mykland,21327
2024-03-27,lee_mykland,21362
2024-03-27,lee_mykland,21375
2024-03-27,lee_mykland,21416
2024-03-27,lee_mykland,21600
2024-03-27,lee_mykland,21632
2024-03-27,lee_mykland,21644
2024-03-27,lee_mykland,21661
2024-03-27,lee_mykland,21730
2024-03-27,lee_mykland,21741
2024-03-27,lee_mykland,21802
2024-03-27,lee_mykland,21919
2024-03-27,lee_mykland,21953
2024-03-27,lee_mykland,21959
2024-03-27,lee_mykland,21989
2024-03-27,lee_mykland,21992
2024-03-27,lee_mykland,22040
2024-03-27,lee_mykland,22064
2024-03-27,lee_mykland,22069
2024-03-27,lee_mykland,22118
2024-03-27,lee_mykland,22128
2024-03-27,lee_mykland,22143
2024-03-27,lee_mykland,22169
2024-03-27,lee_mykland,22196
2024-03-27,lee_mykland,22209
2024-03-27,lee_mykland,22237
2024-03-27,lee_mykland,22336
2024-03-27,lee_mykland,22406
2024-03-27,lee_mykland,22410
2024-03-27,lee_mykland,22504
2024-03-27,lee_mykland,22519
2024-03-27,lee_mykland,22521
2024-03-27,lee_mykland,22560
2024-03-27,lee_mykland,22583
2024-03-27,lee_mykland,22842
2024-03-27,lee_mykland,22859
2024-03-27,lee_mykland,22865
2024-03-27,lee_mykland,22871
2024-03-27,lee_mykland,22919
2024-03-27,lee_mykland,22929
2024-03-27,lee_mykland,22940
2024-03-27,lee_mykland,22956
2024-03-27,lee_mykland,23010
2024-03-27,lee_mykland,23041
2024-03-27,lee_mykland,23083
2024-03-27,lee_mykland,23241
2024-03-27,lee_mykland,23285
2024-03-27,lee_mykland,23359
2024-03-27,lee_mykland,23360
2024-03-27,lee_mykland,23406
2024-03-27,lee_mykland,23409
2024-03-27,lee_mykland,23450
2024-03-27,lee_mykland,23468
2024-03-27,lee_mykland,23475
