epoch,train_loss,val_loss,val_auc
0,0.8689861733738969,0.8714773309858221,0.5924431401320615
1,0.8669636849050045,0.8696259479773673,0.5798789435069698
2,0.8666010654069544,0.8694920633968554,0.5676815847395452
3,0.8663968117810292,0.8693980292270058,0.5499816581071167
4,0.8651093765833652,0.8691552187267103,0.5546588407923698
5,0.8661885224152941,0.869182382759295,0.5848312545854731
6,0.8673125645286391,0.8692063281410619,0.5431034482758621
7,0.8651060551301112,0.8691115504816959,0.5498899486426999
8,0.8668347399824587,0.8690967559814453,0.5343910491562729
9,0.8663265445506532,0.8693527516565824,0.5167828319882612
