epoch,train_loss,val_loss,val_auc
0,0.8590863685574681,0.8522320828939739,0.886096845194424
1,0.8392337132137134,0.830269710013741,0.886096845194424
2,0.8188349686294759,0.8107112551990309,0.886096845194424
3,0.7968009009732325,0.79384267957587,0.886096845194424
4,0.7827304902807761,0.7724441478126928,0.886096845194424
5,0.7498492511307321,0.745763853976601,0.886096845194424
6,0.7325275394282413,0.7213919382346304,0.886096845194424
7,0.7039213123083392,0.698709437721654,0.886096845194424
8,0.6868366755536486,0.6763421046106439,0.886096845194424
9,0.6675309121401053,0.6590554965169806,0.886096845194424
10,0.6543023480355532,0.6433219501846715,0.886096845194424
11,0.6423001486665281,0.6420594987116361,0.886096845194424
12,0.6267508809020987,0.6120395879996451,0.886096845194424
13,0.6121888240316881,0.6024714739699113,0.886096845194424
14,0.6075240412378698,0.5988172763272336,0.886096845194424
15,0.599236589552495,0.5843497059847179,0.886096845194424
16,0.5811125836859735,0.5780948729891526,0.886096845194424
17,0.5750475482242864,0.5708754705755335,0.886096845194424
18,0.5699049574295957,0.568685100266808,0.886096845194424
19,0.5649401241617059,0.561940400223983,0.886096845194424
20,0.5650420476196811,0.5647680837857095,0.886096845194424
21,0.5670595107455149,0.5642006914866599,0.886096845194424
22,0.5514236653308004,0.5578657576912328,0.886096845194424
23,0.5488595127644024,0.5473605959038985,0.886096845194424
24,0.5507530826170962,0.5484655232805955,0.886096845194424
25,0.5493519919536116,0.5587364450881356,0.886096845194424
26,0.5682396607670358,0.5536328726693204,0.886096845194424
27,0.5558010372273736,0.5421939037348095,0.886096845194424
28,0.5446922165037724,0.5424868244873849,0.886096845194424
29,0.5436751600203475,0.5448549405524605,0.886096845194424
