noise_scale,0.0,0.0025,0.005,0.01,0.02
0.0005,0.066,0.1,0.774,1.0,1.0
0.001,0.056,0.108,0.744,1.0,1.0
0.002,0.042,0.092,0.702,1.0,1.0
0.005,0.044,0.098,0.584,1.0,1.0
