noise_scale,0.0,0.0025,0.005,0.01,0.02
0.0005,0.06,0.09,0.768,1.0,1.0
0.001,0.042,0.084,0.704,1.0,1.0
0.002,0.044,0.094,0.702,1.0,1.0
0.005,0.056,0.112,0.602,1.0,1.0
