day,n_obs,n_jumps,lambda_hat,mu_J_hat,sigma_J_hat,mu_hat,sigma_hat,jump_set,symbol
2025-05-01,86401,33,33.0,1.4662086856416302e-05,0.0012379217708153325,0.024245957950573507,0.014782584485313987,raw_lomn,BTCUSDT
2026-05-01,86401,60,60.0,-0.00013382088645380225,0.0013144749182684046,0.024792091272296278,0.013443962267167368,raw_lomn,BTCUSDT
2026-05-02,86401,152,152.0,3.0034603449787634e-05,0.000637567235470105,0.006427860088604501,0.007859918549383385,raw_lomn,BTCUSDT
2026-05-03,86401,124,124.0,-7.230335613550218e-05,0.0007895375053641978,-0.0015912594368214807,0.009606771042202233,raw_lomn,BTCUSDT
2026-05-04,86401,55,55.0,-2.735338005357009e-05,0.0021289526293856932,0.01551130303445366,0.022108130770736218,raw_lomn,BTCUSDT
2026-05-05,86401,37,37.0,-0.0001414429179100129,0.0014022809972006728,0.011946423591805838,0.014882419380390319,raw_lomn,BTCUSDT
2026-05-06,86401,29,29.0,-0.0006530192152512822,0.0012913036939622747,0.006648225325388745,0.015536717488492542,raw_lomn,BTCUSDT
2026-05-07,86401,30,30.0,-0.0008158893203446501,0.0012314666880186642,-0.01669770290738891,0.014268212768624246,raw_lomn,BTCUSDT
2026-05-08,86401,52,52.0,-0.00032236054831163557,0.0011549602236532264,0.004315880276313224,0.012688158522189933,raw_lomn,BTCUSDT
2026-05-09,86401,54,54.0,1.6600566573031648e-05,0.0005735222037466543,0.0059118502538588495,0.00679775512837729,raw_lomn,BTCUSDT
2026-05-10,86401,107,107.0,8.943074343752639e-05,0.0010511971960079987,0.017830508609610673,0.011949425990789233,raw_lomn,BTCUSDT
2026-05-11,86401,46,46.0,-0.00043818985480972486,0.0013260488904418759,-0.004367931074767075,0.014226954614936812,raw_lomn,BTCUSDT
2026-05-12,86401,60,60.0,-0.0002510795395399631,0.0011396453737690924,-0.016007296813814357,0.01201012703313779,raw_lomn,BTCUSDT
2026-05-13,86401,50,50.0,-0.00032320001983002553,0.0010919177952537036,-0.01428742280079918,0.012033922287725204,raw_lomn,BTCUSDT
2026-05-14,86401,47,47.0,-0.0002990134180792927,0.0013824870555752672,0.02292078551927462,0.014883400179928096,raw_lomn,BTCUSDT
2025-05-01,86401,75,75.0,-7.17909066353665e-05,0.0010098071824847115,0.025358040807528025,0.014778280028530348,ml_refined,BTCUSDT
2026-05-01,86401,107,107.0,2.2364539600022042e-05,0.0010734434514816677,0.025273421493910715,0.013435523360548485,ml_refined,BTCUSDT
2026-05-02,86401,175,175.0,7.15155252421137e-05,0.0005830774108469705,0.006549559229479308,0.007854926913229778,ml_refined,BTCUSDT
2026-05-03,86401,188,188.0,-2.6161613184628093e-05,0.0006675236143264693,-0.0009012678581487968,0.009594925308454063,ml_refined,BTCUSDT
2026-05-04,86401,120,120.0,-4.6152741439827355e-05,0.0015875185224517362,0.016831879549787356,0.022053550506194883,ml_refined,BTCUSDT
2026-05-05,86401,67,67.0,-0.0001178122778727272,0.0011400453793330423,0.0119433646613827,0.014875041310897284,ml_refined,BTCUSDT
2026-05-06,86401,64,64.0,-0.00019541608272050093,0.0011620978891537144,0.007100770403767864,0.015526881411325718,ml_refined,BTCUSDT
2026-05-07,86401,66,66.0,-0.00033729925410677907,0.0010935126211082356,-0.01667743586470838,0.014248849498543235,ml_refined,BTCUSDT
2026-05-08,86401,100,100.0,-8.888104615959236e-05,0.0009817874670297914,0.004591337480407938,0.012677055812421699,ml_refined,BTCUSDT
2026-05-09,86401,86,86.0,0.00015363773601127364,0.00046252069643284245,0.005083599282393577,0.006785089259522129,ml_refined,BTCUSDT
2026-05-10,86401,150,150.0,6.513349825841174e-05,0.0009185729004792164,0.017295147761222488,0.011939076538266346,ml_refined,BTCUSDT
2026-05-11,86401,79,79.0,-0.0002638465374429327,0.0011526900595032034,-0.003919116532560936,0.014214787133090613,ml_refined,BTCUSDT
2026-05-12,86401,94,94.0,-0.00016166177512283087,0.0009956470850752024,-0.016604336557367712,0.011977634786538651,ml_refined,BTCUSDT
2026-05-13,86401,91,91.0,-0.00024368868133989245,0.0009073690666070252,-0.013472375555676654,0.01202522535952044,ml_refined,BTCUSDT
2026-05-14,86401,105,105.0,6.4850313745151445e-06,0.001123018428605829,0.022601901116894422,0.01486037414762425,ml_refined,BTCUSDT
2025-05-01,86401,37,37.0,9.519147448734479e-05,0.0010429474041230974,0.02502760652008741,0.01478296348730011,persist_truth,BTCUSDT
2026-05-01,86401,56,56.0,4.067115822046853e-05,0.0012326934271836786,0.025013944245088727,0.013456516686351415,persist_truth,BTCUSDT
2026-05-02,86401,108,108.0,4.533463403566529e-05,0.0006804096021366887,0.006212219415095965,0.007864032943461555,persist_truth,BTCUSDT
2026-05-03,86401,103,103.0,-3.7084990868890776e-05,0.0007664234896598226,-0.0011047301544554367,0.00960677943637695,persist_truth,BTCUSDT
2026-05-04,86401,63,63.0,-6.244076911806071e-05,0.0018741300933325297,0.014214906343797375,0.022114048773524936,persist_truth,BTCUSDT
2026-05-05,86401,31,31.0,-0.0003795352440993078,0.0012220571224980086,0.012058904560526953,0.014881792100482107,persist_truth,BTCUSDT
2026-05-06,86401,20,20.0,-0.00014724615185128797,0.001289285016644234,0.006412154693869055,0.015531105916202326,persist_truth,BTCUSDT
2026-05-07,86401,27,27.0,-0.0003913682475342081,0.0011986378403428483,-0.016532169296353483,0.014265319534956156,persist_truth,BTCUSDT
2026-05-08,86401,42,42.0,-0.00013128623083797074,0.0011144576915111564,0.0034539142566109076,0.012688843998303596,persist_truth,BTCUSDT
2026-05-09,86401,41,41.0,0.0001485958611278743,0.0005032742398953329,0.005636823669436195,0.0067983424723645994,persist_truth,BTCUSDT
2026-05-10,86401,99,99.0,7.211710012599341e-05,0.0010175700720430375,0.017232988545584384,0.011941435028205568,persist_truth,BTCUSDT
2026-05-11,86401,37,37.0,-0.00024048845124580466,0.0012623016383835873,-0.004976411173609014,0.014234394619276234,persist_truth,BTCUSDT
2026-05-12,86401,46,46.0,-0.0002627906836445233,0.0011168504148379263,-0.016476537753892597,0.011983310567008297,persist_truth,BTCUSDT
2026-05-13,86401,38,38.0,-0.00031029110204099607,0.0010681796505655138,-0.013783375538974692,0.012031671276045456,persist_truth,BTCUSDT
2026-05-14,86401,40,40.0,-5.034503696821346e-06,0.0012394571139265796,0.021612339366425502,0.01487628077060887,persist_truth,BTCUSDT
2026-05-01,86401,43,43.0,-0.00011982221814767117,0.0016574618453727252,0.016896919486068866,0.017268819470952677,raw_lomn,ETHUSDT
2026-05-02,86401,77,77.0,3.3377620753793626e-05,0.0009491599434587339,0.010273745304621143,0.010566176254208592,raw_lomn,ETHUSDT
2026-05-03,86401,80,80.0,-9.348053010684864e-05,0.0013234049110260886,0.0018972421829206382,0.014831894859039374,raw_lomn,ETHUSDT
2026-05-04,86401,42,42.0,5.205485893408767e-05,0.0026780446781191924,0.010068748513961976,0.02813671985840841,raw_lomn,ETHUSDT
2026-05-05,86401,35,35.0,-0.0005474906889291325,0.001837450054318318,0.006737984102050389,0.0198329111977633,raw_lomn,ETHUSDT
2026-05-06,86401,44,44.0,-0.0004535470246778745,0.0018714024663147298,-0.003619576619963376,0.02239056592489578,raw_lomn,ETHUSDT
2026-05-07,86400,33,33.0,-0.0008423016265698312,0.0017464648971696553,-0.0258759426721765,0.020628946577854492,raw_lomn,ETHUSDT
2026-05-08,86401,34,34.0,-0.0005035751723345041,0.0016017110051215538,0.009435594009636568,0.017529181459379803,raw_lomn,ETHUSDT
