jump_set,n_jumps_total,lambda_mean,lambda_std,mu_J_mean,mu_J_std,sigma_J_mean,sigma_J_std,sigma_mean,sigma_std,symbol
raw_lomn,936,62.4,36.24480258306995,-0.0002217962970935133,0.0002619052451187234,0.001183552278462211,0.0003673895764411209,0.013138564033959643,0.003607537338258494,BTCUSDT
ml_refined,1567,104.46666666666667,38.69637610693699,-8.223830570258275e-05,0.00013858893089856668,0.0009905754516613104,0.00027140206559964606,0.013123148091647194,0.003599654585071562,BTCUSDT
persist_truth,788,52.53333333333333,28.304130608867137,-0.00010437707646270168,0.0001775309013417196,0.0011085783211389362,0.00031361869870386104,0.013137122507364546,0.0036085751013092433,BTCUSDT
raw_lomn,675,48.214285714285715,20.260528398563817,-0.0003539720140386062,0.0003117136161820344,0.001623344005312198,0.00041627430410561407,0.018069016945946842,0.004479651219624876,ETHUSDT
ml_refined,1137,81.21428571428571,24.198469663719113,-0.00015108904993396438,0.00019026506531440396,0.001360248131035618,0.00029143120385787425,0.018057729032380735,0.0044765964176089286,ETHUSDT
persist_truth,568,40.57142857142857,17.15411718112408,-0.00019125590397415439,0.0003084542876905639,0.0015278447315242077,0.00037369230429017293,0.01806948187799132,0.004477126411573288,ETHUSDT
raw_lomn,744,53.142857142857146,26.04096519201752,-0.0002511047021177138,0.0003929970148902041,0.0018985712920336314,0.00044655119069062773,0.02287310233374382,0.0053453235266491,SOLUSDT
ml_refined,1447,103.35714285714286,40.288588082363106,-5.670011370938875e-05,0.00019486896755743273,0.0015226734338554784,0.00031578320817467014,0.022846829730943412,0.005340176519383141,SOLUSDT
persist_truth,629,44.92857142857143,20.882323351854996,-0.00015248048721926038,0.0003757290155644348,0.0017565689048156022,0.00041375625810555243,0.022873209371383697,0.0053495515178281815,SOLUSDT
