symbol,n_test,q_hat,coverage,avg_set_size,abstain_rate,singleton_share,singleton_precision,singleton_TP,singleton_FP,singleton_FN_global
BTCUSDT,207,0.6809676885604858,0.8985507246376812,1.1207729468599035,0.12077294685990338,0.8792270531400966,0.8450704225352113,60,11,18
ETHUSDT,187,0.6948009133338928,0.93048128342246,1.1336898395721926,0.13368983957219252,0.8663101604278075,0.9019607843137255,46,5,19
SOLUSDT,250,0.6306055784225464,0.888,1.1,0.1,0.9,0.8,72,18,15
