symbol,n_days_fit,n_lr_significant_5pct,median_branching,mean_branching,median_logL_uplift,median_p_value
BTCUSDT,15,14,0.730457032624428,0.6558582307530335,21.214923249643988,6.116118722587771e-10
ETHUSDT,14,14,0.6073095768863297,0.5840356244481694,13.898114966071972,1.0996648796002262e-06
SOLUSDT,14,14,0.6683799385295592,0.6424089853836202,18.324256047080866,2.115607888875104e-08
